2019-06-20 14:58:42.930 [http-nio-80-exec-10] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:58:43.618 [http-nio-80-exec-1] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:58:44.113 [http-nio-80-exec-4] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:58:44.425 [http-nio-80-exec-6] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 15:02:37.213 [http-nio-80-exec-9] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 15:02:38.605 [http-nio-80-exec-2] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 15:02:39.370 [http-nio-80-exec-3] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 15:02:45.697 [http-nio-80-exec-7] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 15:02:45.699 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 15:02:45.699 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 15:02:45.699 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 15:02:45.700 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 15:02:47.811 [http-nio-80-exec-8] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 15:03:00.249 [http-nio-80-exec-9] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
